no,date,red1,red2,red3,red4,red5,red6,blue1,count,count_length
4113,20041210,8,10,23,25,31,32,7,5634477,7
4114,20041213,1,6,9,17,21,22,1,68256523,8
4115,20041214,2,16,20,30,31,33,1,31485399,8
4116,20041216,1,3,5,8,14,33,3,7302432,7
4117,20041219,1,3,7,14,24,25,7,7208703,7
4118,20041221,3,4,7,12,30,31,15,2037782,7
4119,20041223,6,9,18,20,25,33,6,13875501,8
4120,20041226,7,8,18,21,27,32,10,17010463,8
4121,20041228,7,13,16,18,30,32,10,6686097,7
4122,20041230,3,11,14,22,24,31,15,16337720,8
5001,20050102,1,7,8,23,27,28,14,12976928,8
5002,20050104,6,9,20,26,28,33,14,30323295,8
5003,20050106,9,12,15,19,22,31,16,6954893,7
5004,20050109,1,4,8,9,22,23,3,9164445,7
5005,20050111,5,9,20,26,28,33,15,54133613,8
5006,20050113,2,4,5,15,21,31,16,35888859,8
5007,20050116,7,15,17,20,23,33,15,23900492,8
5008,20050118,11,19,22,27,32,33,11,8196510,7
5009,20050120,2,17,22,27,29,31,14,10255618,8
5010,20050123,8,10,11,18,25,26,1,32583088,8
5011,20050125,9,11,13,15,22,30,15,27369035,8
5012,20050127,2,3,6,16,22,31,5,11533298,8
5013,20050130,7,8,16,19,20,24,6,3179687,7
5014,20050201,13,19,21,23,30,32,5,77538148,8
5015,20050203,4,8,9,16,17,29,15,3657732,7
5016,20050206,1,5,6,12,16,30,15,25017342,8
5017,20050216,2,6,10,25,27,31,3,6042242,7
5018,20050217,1,3,6,22,23,25,6,1874001,7
5019,20050220,6,11,12,13,19,22,8,67745631,8
5020,20050222,14,16,19,20,25,29,5,4527123,7
5021,20050224,2,6,24,26,30,31,16,3874594,7
5022,20050227,8,10,12,21,32,33,4,4102662,7
5023,20050301,10,15,19,20,21,25,12,6977080,7
5024,20050303,5,9,14,27,31,32,13,30782082,8
5025,20050306,1,7,10,11,13,32,7,7646983,7
5026,20050308,6,12,14,20,25,26,7,9279775,7
5027,20050310,1,3,4,6,21,32,15,10651772,8
5028,20050313,4,9,22,25,26,32,10,30862038,8
5029,20050315,2,14,21,22,27,30,14,7909845,7
5030,20050317,1,5,9,14,22,28,5,48270188,8
5031,20050320,4,10,16,20,23,32,7,10954419,8
5032,20050322,5,15,19,20,25,29,3,8629928,7
5033,20050324,7,8,12,14,19,20,7,19149709,8
5034,20050327,5,17,18,25,28,32,9,51744600,8
5035,20050329,12,16,21,28,29,30,14,13505861,8
5036,20050331,12,19,20,21,26,31,15,6460053,7
5037,20050403,7,12,14,22,24,32,16,20561173,8
5038,20050405,4,7,11,20,27,28,16,26555065,8
5039,20050407,2,16,18,19,21,29,9,47946468,8
5040,20050410,1,12,21,24,30,32,13,20870113,8
5041,20050412,2,11,16,23,24,29,3,5431941,7
5042,20050414,11,16,21,26,27,30,15,4612915,7
5043,20050417,4,5,6,7,8,32,5,40260486,8
5044,20050419,1,6,16,17,18,22,9,35490422,8
5045,20050421,1,7,10,15,18,20,10,14348849,8
5046,20050424,9,16,18,20,22,24,5,399310,6
5047,20050426,2,3,5,7,8,27,15,15271393,8
5048,20050428,6,7,8,10,16,28,2,21833149,8
5049,20050501,2,3,8,10,25,27,12,8043652,7
5050,20050503,2,9,12,20,26,32,13,1801240,7
5051,20050505,3,6,14,19,20,21,2,7887160,7
5052,20050508,1,2,14,17,30,32,1,22424068,8
5053,20050510,4,7,10,14,27,29,9,22046653,8
5054,20050512,5,13,17,18,21,29,14,29425893,8
5055,20050515,5,20,22,30,32,33,9,5118783,7
5056,20050517,12,17,19,27,29,31,9,10178730,8
5057,20050519,5,6,10,15,30,31,13,16675054,8
5058,20050522,4,6,10,21,25,26,10,1973974,7
5059,20050524,7,11,14,18,24,29,7,60238157,8
5060,20050526,9,12,21,25,31,33,13,18655153,8
5061,20050529,5,9,14,21,23,24,1,79045647,8
5062,20050531,2,7,11,12,20,23,7,15206039,8
5063,20050602,2,11,13,18,22,30,4,487171,6
5064,20050605,10,18,23,27,30,32,8,10165581,8
5065,20050607,12,16,17,21,22,23,16,1829736,7
5066,20050609,2,4,10,11,25,28,5,11534860,8
5067,20050612,3,12,16,20,21,26,16,12885246,8
5068,20050614,1,8,10,13,25,33,13,31419230,8
5069,20050616,7,9,21,24,31,33,12,22710041,8
5070,20050619,3,4,8,14,16,26,4,41479548,8
5071,20050621,4,8,12,14,16,22,10,5210890,7
5072,20050623,6,10,19,20,24,33,11,26680253,8
5073,20050626,1,6,8,9,18,20,1,22574411,8
5074,20050628,6,9,18,20,26,29,9,13825231,8
5075,20050630,11,13,14,16,18,31,14,809343,6
5076,20050703,4,9,11,22,25,28,13,4788058,7
5077,20050705,8,17,22,24,32,33,16,941306,6
5078,20050707,3,11,15,20,26,32,11,19572289,8
5079,20050710,3,9,20,24,25,28,5,5609199,7
5080,20050712,1,12,14,26,27,32,16,4882385,7
5081,20050714,2,4,10,12,26,30,3,21432232,8
5082,20050717,1,7,11,14,19,20,12,37915604,8
5083,20050719,3,5,9,14,16,30,13,16411522,8
5084,20050721,1,2,7,15,19,20,3,924198,6
5085,20050724,8,9,13,14,20,22,12,24450675,8
5086,20050726,7,11,12,24,27,29,12,6547215,7
5087,20050728,8,9,15,16,23,26,8,2967131,7
5088,20050731,1,3,7,18,20,24,7,948658,6
5089,20050802,5,19,20,23,26,31,12,6534097,7
5090,20050804,1,9,21,25,29,32,3,21569092,8
5091,20050807,1,11,12,15,26,27,13,9870429,7
5092,20050809,8,13,19,26,28,31,10,69304133,8
5093,20050811,4,6,17,23,25,29,14,55584051,8
5094,20050814,3,5,9,23,27,33,3,11130289,8
5095,20050816,9,12,18,21,28,29,5,4054131,7
5096,20050818,4,5,17,18,26,33,4,3099,4
5097,20050821,5,10,23,27,28,30,15,7567133,7
5098,20050823,12,15,19,22,31,33,1,228279,6
5099,20050825,10,13,16,22,24,31,9,12183552,8
5100,20050828,2,4,9,14,16,31,3,6626035,7
5101,20050830,9,16,19,21,22,24,12,32304313,8
5102,20050901,2,5,6,14,24,31,12,15952308,8
5103,20050904,4,7,16,18,23,30,7,6317054,7
5104,20050906,2,4,21,23,30,33,9,30135321,8
5105,20050908,4,15,23,30,32,33,3,5298907,7
5106,20050911,1,11,13,24,26,31,13,1648405,7
5107,20050913,9,10,20,24,25,26,11,4674409,7
5108,20050915,3,10,12,24,29,30,6,14763008,8
5109,20050918,3,5,13,15,17,31,4,18464636,8
5110,20050920,7,10,16,19,24,25,9,33228167,8
5111,20050922,3,7,15,16,19,29,9,36931563,8
5112,20050925,4,12,22,28,29,30,16,62681071,8
5113,20050927,15,18,20,22,26,27,3,731201,6
5114,20050929,6,7,10,15,21,27,6,32673991,8
5115,20051002,3,12,18,23,30,33,2,18652273,8
5116,20051004,4,6,8,14,15,30,10,6716620,7
5117,20051006,6,17,22,27,28,32,3,14465330,8
5118,20051009,4,9,12,15,26,31,16,5731948,7
5119,20051011,1,7,11,18,20,22,2,24830871,8
5120,20051013,1,6,13,18,30,32,14,162459,6
5121,20051016,1,7,20,25,31,32,12,45905647,8
5122,20051018,1,4,7,14,30,32,9,10511898,8
5123,20051020,11,12,13,17,18,25,7,5403009,7
5124,20051023,5,6,10,19,31,33,11,7295998,7
5125,20051025,6,14,18,28,31,32,3,28498407,8
5126,20051027,2,8,13,19,25,26,9,2550498,7
5127,20051030,4,6,11,14,23,25,12,357625,6
5128,20051101,2,4,14,23,29,33,15,26805558,8
5129,20051103,5,10,14,20,27,33,3,11102494,8
5130,20051106,3,5,9,15,20,25,16,13139232,8
5131,20051108,2,7,10,11,12,24,3,6980650,7
5132,20051110,2,4,10,18,27,29,15,9941150,7
5133,20051113,1,7,14,16,18,25,11,10539828,8
5134,20051115,4,13,14,18,26,30,1,3704609,7
5135,20051117,1,5,13,15,21,25,11,26093134,8
5136,20051120,5,14,16,18,25,27,13,8933651,7
5137,20051122,3,9,15,23,25,33,12,26214982,8
5138,20051124,3,5,6,11,20,22,13,15969524,8
5139,20051127,2,7,20,23,32,33,10,14560478,8
5140,20051129,4,6,7,8,12,17,7,9902419,7
5141,20051201,3,5,8,12,16,19,15,23222657,8
5142,20051204,7,10,12,17,22,29,5,7599671,7
5143,20051206,3,10,15,17,20,32,8,9629789,7
5144,20051208,1,8,14,15,19,27,9,16876740,8
5145,20051211,3,7,8,17,20,28,15,7566363,7
5146,20051213,7,11,19,20,24,28,2,2011896,7
5147,20051215,6,7,15,27,28,30,10,5431864,7
5148,20051218,3,15,17,23,24,29,13,7259750,7
5149,20051220,11,16,21,23,25,32,7,26311012,8
5150,20051222,3,7,10,14,18,20,2,683665,6
5151,20051225,4,11,12,13,19,30,5,45676567,8
5152,20051227,1,5,12,14,21,27,3,10060656,8
5153,20051229,4,5,7,21,26,29,1,11672695,8
6001,20060101,1,12,15,19,21,28,3,21474841,8
6002,20060103,7,13,16,21,26,28,9,25098732,8
6003,20060105,2,4,5,6,16,20,12,3259681,7
6004,20060108,4,8,17,27,28,31,7,9154838,7
6005,20060110,3,19,20,24,26,27,11,3568539,7
6006,20060112,8,21,22,23,26,32,14,3495746,7
6007,20060115,4,16,18,27,32,33,7,7236507,7
6008,20060117,3,5,9,18,28,32,16,21957640,8
6009,20060119,5,6,8,20,26,30,6,7913818,7
6010,20060122,4,6,12,19,27,29,8,14880833,8
6011,20060124,5,7,8,14,27,31,11,47610917,8
6012,20060126,9,11,13,27,31,33,10,21068832,8
6013,20060205,1,5,6,12,16,21,11,13874359,8
6014,20060207,6,14,26,29,32,33,7,8809455,7
6015,20060209,2,3,9,15,29,32,3,4442475,7
6016,20060212,1,7,13,17,23,30,16,5822521,7
6017,20060214,3,4,8,31,32,33,2,5128897,7
6018,20060216,1,13,14,17,24,26,5,7704532,7
6019,20060219,4,6,13,22,26,32,7,19157027,8
6020,20060221,5,9,21,23,26,29,6,2833749,7
6021,20060223,1,2,5,20,21,22,9,6693889,7
6022,20060226,2,3,4,13,16,27,13,17890829,8
6023,20060228,4,13,14,19,23,28,8,16488264,8
6024,20060302,2,7,9,11,21,27,6,50875262,8
6025,20060305,3,4,17,19,24,32,5,11377752,8
6026,20060307,1,2,18,22,29,32,3,4479160,7
6027,20060309,6,8,11,14,16,27,15,362312,6
6028,20060312,5,7,14,16,17,27,4,23249581,8
6029,20060314,3,4,7,9,14,19,8,44054868,8
6030,20060316,8,13,15,17,20,32,14,63689881,8
6031,20060319,3,10,12,16,31,32,14,5287756,7
6032,20060321,5,18,20,24,26,31,9,1725957,7
6033,20060323,15,20,22,23,27,31,6,6035161,7
6034,20060326,2,10,15,16,17,33,13,423481,6
6035,20060328,3,9,13,21,27,29,13,15382344,8
6036,20060330,4,7,10,16,17,21,9,26286246,8
6037,20060402,2,12,23,24,25,32,14,2349072,7
6038,20060404,2,14,17,19,22,30,10,16893126,8
6039,20060406,16,19,22,28,31,32,3,3949412,7
6040,20060409,15,22,25,26,28,33,3,1461535,7
6041,20060411,3,10,16,18,21,28,4,2304606,7
6042,20060413,3,16,23,26,28,31,11,38511229,8
6043,20060416,5,12,13,16,23,32,3,20335924,8
6044,20060418,2,10,18,21,30,31,5,22128977,8
6045,20060420,6,7,10,14,20,21,4,30331625,8
6046,20060423,13,18,23,29,31,32,8,1351673,7
6047,20060425,2,17,20,22,28,32,3,3958362,7
6048,20060427,9,13,19,25,29,32,12,10826460,8
6049,20060430,6,10,12,13,17,20,3,44482373,8
6050,20060502,2,6,12,15,25,31,7,74536789,8
6051,20060504,2,6,7,17,27,30,16,6070284,7
6052,20060507,11,24,26,27,30,32,3,4162702,7
6053,20060509,1,11,17,27,28,31,2,8451062,7
6054,20060511,3,5,7,10,28,30,4,41269399,8
6055,20060514,4,5,28,29,31,33,11,13123492,8
6056,20060516,11,13,15,21,23,25,8,4363918,7
6057,20060518,3,4,17,18,21,31,8,22112742,8
6058,20060521,1,12,22,23,24,25,14,25767901,8
6059,20060523,5,10,15,17,27,29,11,164491,6
6060,20060525,5,15,19,23,30,32,14,32361929,8
6061,20060528,5,13,17,19,25,30,11,26718708,8
6062,20060530,18,22,23,24,26,30,1,7030922,7
6063,20060601,4,5,15,21,23,24,8,25037947,8
6064,20060604,3,12,14,21,24,28,11,6337352,7
6065,20060606,4,8,17,28,29,30,13,84756539,8
6066,20060608,6,8,11,18,30,33,5,76891335,8
6067,20060611,7,8,11,16,17,24,13,42358573,8
6068,20060613,3,7,10,14,30,33,10,16874432,8
6069,20060615,5,16,20,22,29,30,8,91740586,8
6070,20060618,2,3,11,13,20,27,2,19242503,8
6071,20060620,5,11,12,19,29,31,1,17949002,8
6072,20060622,2,3,5,20,21,24,8,2876270,7
6073,20060625,5,13,16,18,27,29,12,477158,6
6074,20060627,1,3,15,19,25,33,4,15097642,8
6075,20060629,10,21,22,23,25,33,11,7162793,7
6076,20060702,4,10,17,21,29,32,14,10207710,8
6077,20060704,8,9,12,13,19,33,9,10014435,8
6078,20060706,3,5,17,22,31,33,12,4240645,7
6079,20060709,6,11,13,17,20,32,8,9303586,7
6080,20060711,15,17,20,22,26,29,9,17669211,8
6081,20060713,14,16,18,21,22,32,4,5599311,7
6082,20060716,3,13,15,23,28,29,9,271468,6
6083,20060718,7,9,18,19,26,29,10,17493607,8
6084,20060721,1,12,17,21,25,28,12,3882007,7
6085,20060723,2,6,18,21,24,25,8,4454815,7
6086,20060725,4,6,10,24,26,31,6,21584018,8
6087,20060727,4,5,8,9,12,30,5,9457575,7
6088,20060730,3,11,20,24,25,26,1,5486265,7
6089,20060801,1,13,16,18,19,22,1,16826488,8
6090,20060803,2,11,15,20,23,29,11,32402108,8
6091,20060806,7,8,12,21,22,24,7,12914850,8
6092,20060808,2,8,11,16,20,21,14,5021236,7
6093,20060810,2,12,16,18,19,23,5,14548165,8
6094,20060813,15,16,17,18,24,33,13,7780493,7
6095,20060815,1,3,17,20,21,29,16,16088201,8
6096,20060817,1,5,9,13,18,33,14,70015957,8
6097,20060820,11,14,15,20,26,27,12,75460798,8
6098,20060822,6,7,10,11,18,23,16,13987084,8
6099,20060824,9,12,18,23,24,27,5,14441112,8
6100,20060827,1,11,18,26,30,32,3,8842976,7
6101,20060829,9,12,20,26,27,28,16,2343766,7
6102,20060831,1,4,13,19,20,24,11,23693641,8
6103,20060903,12,14,15,25,28,31,6,10572675,8
6104,20060905,3,7,22,27,28,31,11,3598767,7
6105,20060907,5,12,14,15,20,31,1,18835539,8
6106,20060910,2,12,14,19,28,33,10,1722029,7
6107,20060912,1,6,8,13,17,30,7,11887614,8
6108,20060914,2,6,8,20,24,30,9,11672548,8
6109,20060917,1,5,17,18,23,26,13,296301,6
6110,20060919,9,12,14,18,27,33,13,6979815,7
6111,20060921,1,8,11,16,17,22,15,42221045,8
6112,20060924,4,9,13,15,31,33,11,61510152,8
6113,20060926,5,14,17,18,28,33,2,11391498,8
6114,20060928,8,10,14,20,27,29,16,3025288,7
6115,20061001,1,10,20,26,28,29,15,17683048,8
6116,20061003,5,16,21,22,32,33,9,9870178,7
6117,20061005,6,14,20,22,23,26,9,33173852,8
6118,20061008,1,3,7,8,10,30,5,4520472,7
6119,20061010,1,2,14,20,27,30,2,7436502,7
6120,20061012,6,8,14,15,24,33,9,7729681,7
6121,20061015,3,4,6,27,31,33,6,23292065,8
6122,20061017,4,5,6,8,22,24,3,9147377,7
6123,20061019,2,3,20,25,28,32,6,2255605,7
6124,20061022,12,13,14,18,31,32,13,7282820,7
6125,20061024,15,19,23,30,32,33,6,480855,6
6126,20061026,2,8,13,16,24,33,9,25487573,8
6127,20061029,3,4,11,17,19,30,1,22027654,8
6128,20061031,4,15,21,30,31,33,5,79587835,8
6129,20061102,9,14,18,22,27,29,12,12502083,8
6130,20061105,1,12,21,22,30,32,2,6333803,7
6131,20061107,3,4,9,22,26,33,1,24580492,8
6132,20061109,6,14,22,26,30,33,1,742381,6
6133,20061112,4,6,20,25,29,31,3,15422765,8
6134,20061114,10,13,18,26,28,30,12,9238826,7
6135,20061116,4,19,21,22,23,31,4,408128,6
6136,20061119,11,15,17,21,22,24,5,70699116,8
6137,20061121,10,14,17,21,27,31,9,7460500,7
6138,20061123,4,9,11,17,18,26,8,27423217,8
6139,20061126,7,8,14,21,23,25,5,44471409,8
6140,20061128,1,8,11,18,19,23,5,14504220,8
6141,20061130,16,18,22,23,25,31,11,2572108,7
6142,20061203,10,16,19,22,26,27,16,42358786,8
6143,20061205,1,15,20,29,31,32,8,6921421,7
6144,20061207,4,10,13,16,22,29,6,16717433,8
6145,20061210,2,7,23,26,28,31,7,32349487,8
6146,20061212,3,9,13,23,28,30,5,42832768,8
6147,20061214,1,4,15,17,27,31,1,64901314,8
6148,20061217,4,8,12,13,23,29,1,2301880,7
6149,20061219,2,3,5,11,15,32,15,4098321,7
6150,20061221,8,9,12,18,25,27,12,21177462,8
6151,20061224,1,3,4,6,16,22,8,24088822,8
6152,20061226,1,14,20,25,27,31,15,50976180,8
6153,20061228,1,7,11,20,30,33,10,24586654,8
