日期,科室,就诊量
20030914,骨科,18
20030914,口腔科,30
20030914,皮肤科,4
20030918,内科,2
20030918,外科,4
20030918,儿科,6
20030918,妇产科,17
20030918,骨科,21
20030918,口腔科,28
20030918,皮肤科,11
20030921,内科,3
20030921,外科,5
20030921,儿科,20
20030921,妇产科,21
20030921,骨科,28
20030921,口腔科,32
20030921,皮肤科,2
20030925,内科,1
20030925,外科,6
20030925,儿科,12
20030925,妇产科,19
20030925,骨科,20
20030925,口腔科,32
20030925,皮肤科,14
20030928,内科,5
20030928,外科,8
20030928,儿科,9
20030928,妇产科,14
20030928,骨科,21
20030928,口腔科,33
20030928,皮肤科,11
20031002,内科,4
20031002,外科,6
20031002,儿科,8
20031002,妇产科,12
20031002,骨科,15
20031002,口腔科,30
20031002,皮肤科,1
20031005,内科,6
20031005,外科,15
20031005,儿科,16
20031005,妇产科,17
20031005,骨科,30
20031005,口腔科,33
20031005,皮肤科,11
20031009,内科,3
20031009,外科,7
20031009,儿科,8
20031009,妇产科,20
20031009,骨科,24
20031009,口腔科,32
20031009,皮肤科,14
20031012,内科,5
20031012,外科,11
20031012,儿科,12
20031012,妇产科,13
20031012,骨科,27
20031012,口腔科,31
20031012,皮肤科,10
20031016,内科,9
20031016,外科,19
20031016,儿科,25
20031016,妇产科,27
20031016,骨科,32
20031016,口腔科,33
20031016,皮肤科,11
20031019,内科,7
20031019,外科,11
20031019,儿科,16
20031019,妇产科,19
20031019,骨科,26
20031019,口腔科,28
20031019,皮肤科,11
20031023,内科,1
20031023,外科,2
20031023,儿科,4
20031023,妇产科,17
20031023,骨科,18
20031023,口腔科,19
20031023,皮肤科,8
20031026,内科,9
20031026,外科,11
20031026,儿科,12
20031026,妇产科,14
20031026,骨科,15
20031026,口腔科,33
20031026,皮肤科,11
20031030,内科,3
20031030,外科,6
20031030,儿科,8
20031030,妇产科,11
20031030,骨科,19
20031030,口腔科,27
20031030,皮肤科,11
20031102,内科,2
20031102,外科,12
20031102,儿科,14
20031102,妇产科,21
20031102,骨科,23
20031102,口腔科,30
20031102,皮肤科,13
20031106,内科,2
20031106,外科,12
20031106,儿科,19
20031106,妇产科,22
20031106,骨科,27
20031106,口腔科,32
20031106,皮肤科,1
20031109,内科,16
20031109,外科,17
20031109,儿科,19
20031109,妇产科,22
20031109,骨科,31
20031109,口腔科,33
20031109,皮肤科,11
20031113,内科,1
20031113,外科,13
20031113,儿科,16
20031113,妇产科,18
20031113,骨科,20
20031113,口腔科,29
20031113,皮肤科,2
20031116,内科,4
20031116,外科,12
20031116,儿科,16
20031116,妇产科,22
20031116,骨科,24
20031116,口腔科,25
20031116,皮肤科,6
20031120,内科,7
20031120,外科,12
20031120,儿科,23
20031120,妇产科,26
20031120,骨科,29
20031120,口腔科,30
20031120,皮肤科,11
20031123,内科,12
20031123,外科,15
20031123,儿科,22
20031123,妇产科,23
20031123,骨科,26
20031123,口腔科,31
20031123,皮肤科,4
20031127,内科,9
20031127,外科,20
20031127,儿科,24
20031127,妇产科,25
20031127,骨科,28
20031127,口腔科,30
20031127,皮肤科,10
20031130,内科,1
20031130,外科,2
20031130,儿科,14
20031130,妇产科,26
20031130,骨科,29
20031130,口腔科,30
20031130,皮肤科,7
20031204,内科,7
20031204,外科,17
20031204,儿科,18
20031204,妇产科,19
20031204,骨科,30
20031204,口腔科,31
20031204,皮肤科,14
20031207,内科,1
20031207,外科,3
20031207,儿科,14
20031207,妇产科,18
20031207,骨科,26
20031207,口腔科,28
20031207,皮肤科,1
20031211,内科,2
20031211,外科,6
20031211,儿科,7
20031211,妇产科,10
20031211,骨科,17
20031211,口腔科,33
20031211,皮肤科,3
20031214,内科,1
20031214,外科,4
20031214,儿科,11
20031214,妇产科,12
20031214,骨科,19
20031214,口腔科,27
20031214,皮肤科,14
20031218,内科,5
20031218,外科,12
20031218,儿科,16
20031218,妇产科,18
20031218,骨科,26
20031218,口腔科,30
20031218,皮肤科,13
20031221,内科,2
20031221,外科,3
20031221,儿科,4
20031221,妇产科,5
20031221,骨科,24
20031221,口腔科,28
20031221,皮肤科,13
20031225,内科,3
20031225,外科,10
20031225,儿科,21
20031225,妇产科,22
20031225,骨科,24
20031225,口腔科,33
20031225,皮肤科,12
20031228,内科,18
20031228,外科,19
20031228,儿科,21
20031228,妇产科,26
20031228,骨科,27
20031228,口腔科,33
20031228,皮肤科,16
20040101,内科,1
20040101,外科,2
20040101,儿科,3
20040101,妇产科,7
20040101,骨科,10
20040101,口腔科,25
20040101,皮肤科,7
20040104,内科,10
20040104,外科,12
20040104,儿科,18
20040104,妇产科,22
20040104,骨科,30
20040104,口腔科,31
20040104,皮肤科,11
20040108,内科,3
20040108,外科,5
20040108,儿科,6
20040108,妇产科,17
20040108,骨科,26
20040108,口腔科,33
20040108,皮肤科,8
20040111,内科,10
20040111,外科,19
20040111,儿科,22
20040111,妇产科,23
20040111,骨科,25
20040111,口腔科,29
20040111,皮肤科,9
20040115,内科,9
20040115,外科,11
20040115,儿科,13
20040115,妇产科,16
20040115,骨科,17
20040115,口腔科,18
20040115,皮肤科,7
20040118,内科,4
20040118,外科,12
20040118,儿科,18
20040118,妇产科,20
20040118,骨科,23
20040118,口腔科,32
20040118,皮肤科,6
20040129,内科,4
20040129,外科,12
20040129,儿科,17
20040129,妇产科,20
20040129,骨科,25
20040129,口腔科,28
20040129,皮肤科,9
20040201,内科,1
20040201,外科,7
20040201,儿科,10
20040201,妇产科,22
20040201,骨科,32
20040201,口腔科,33
20040201,皮肤科,13
20040205,内科,1
20040205,外科,9
20040205,儿科,10
20040205,妇产科,16
20040205,骨科,22
20040205,口腔科,24
20040205,皮肤科,11
20040208,内科,6
20040208,外科,7
20040208,儿科,8
20040208,妇产科,13
20040208,骨科,14
20040208,口腔科,19
20040208,皮肤科,15
20040212,内科,1
20040212,外科,4
20040212,儿科,13
20040212,妇产科,23
20040212,骨科,28
20040212,口腔科,30
20040212,皮肤科,3
20040215,内科,1
20040215,外科,7
20040215,儿科,27
20040215,妇产科,30
20040215,骨科,31
20040215,口腔科,33
20040215,皮肤科,8
20040219,内科,12
20040219,外科,14
20040219,儿科,21
20040219,妇产科,29
20040219,骨科,30
20040219,口腔科,32
20040219,皮肤科,13
20040222,内科,3
20040222,外科,7
20040222,儿科,11
20040222,妇产科,17
20040222,骨科,20
20040222,口腔科,26
20040222,皮肤科,12
20040226,内科,1
20040226,外科,3
20040226,儿科,5
20040226,妇产科,18
20040226,骨科,22
20040226,口腔科,23
20040226,皮肤科,13
20040229,内科,4
20040229,外科,7
20040229,儿科,8
20040229,妇产科,28
20040229,骨科,30
20040229,口腔科,32
20040229,皮肤科,5
20040304,内科,5
20040304,外科,12
20040304,儿科,14
20040304,妇产科,15
20040304,骨科,25
20040304,口腔科,31
20040304,皮肤科,9
20040307,内科,2
20040307,外科,5
20040307,儿科,6
20040307,妇产科,8
20040307,骨科,28
20040307,口腔科,30
20040307,皮肤科,6
20040311,内科,5
20040311,外科,10
20040311,儿科,11
20040311,妇产科,23
20040311,骨科,24
20040311,口腔科,32
20040311,皮肤科,4
20040314,内科,1
20040314,外科,2
20040314,儿科,9
20040314,妇产科,22
20040314,骨科,28
20040314,口腔科,31
20040314,皮肤科,4
20040318,内科,5
20040318,外科,9
20040318,儿科,11
20040318,妇产科,17
20040318,骨科,26
20040318,口腔科,27
20040318,皮肤科,10
20040321,内科,3
20040321,外科,10
20040321,儿科,14
20040321,妇产科,19
20040321,骨科,20
20040321,口腔科,30
20040321,皮肤科,6
20040325,内科,1
20040325,外科,8
20040325,儿科,14
20040325,妇产科,17
20040325,骨科,19
20040325,口腔科,30
20040325,皮肤科,3
20040328,内科,1
20040328,外科,13
20040328,儿科,21
20040328,妇产科,23
20040328,骨科,25
20040328,口腔科,32
20040328,皮肤科,6
20040401,内科,7
20040401,外科,8
20040401,儿科,10
20040401,妇产科,24
20040401,骨科,29
20040401,口腔科,33
20040401,皮肤科,4
20040404,内科,4
20040404,外科,10
20040404,儿科,14
20040404,妇产科,18
20040404,骨科,28
20040404,口腔科,32
20040404,皮肤科,15
20040408,内科,1
20040408,外科,5
20040408,儿科,9
20040408,妇产科,10
20040408,骨科,18
20040408,口腔科,32
20040408,皮肤科,11
20040411,内科,1
20040411,外科,2
20040411,儿科,3
20040411,妇产科,5
20040411,骨科,10
20040411,口腔科,22
20040411,皮肤科,12
20040415,内科,9
20040415,外科,13
20040415,儿科,20
20040415,妇产科,22
20040415,骨科,24
20040415,口腔科,32
20040415,皮肤科,5
20040418,内科,1
20040418,外科,7
20040418,儿科,9
20040418,妇产科,17
20040418,骨科,26
20040418,口腔科,31
20040418,皮肤科,5
20040422,内科,3
20040422,外科,6
20040422,儿科,19
20040422,妇产科,20
20040422,骨科,21
20040422,口腔科,24
20040422,皮肤科,11
20040425,内科,2
20040425,外科,5
20040425,儿科,8
20040425,妇产科,11
20040425,骨科,15
20040425,口腔科,31
20040425,皮肤科,13
20040429,内科,1
20040429,外科,4
20040429,儿科,8
20040429,妇产科,9
20040429,骨科,19
20040429,口腔科,20
20040429,皮肤科,1
20040502,内科,2
20040502,外科,7
20040502,儿科,13
20040502,妇产科,20
20040502,骨科,27
20040502,口腔科,30
20040502,皮肤科,14
20040506,内科,2
20040506,外科,8
20040506,儿科,26
20040506,妇产科,27
20040506,骨科,30
20040506,口腔科,32
20040506,皮肤科,16
20040509,内科,2
20040509,外科,13
20040509,儿科,17
20040509,妇产科,18
20040509,骨科,26
20040509,口腔科,30
20040509,皮肤科,1
20040513,内科,3
20040513,外科,4
20040513,儿科,11
20040513,妇产科,17
20040513,骨科,20
20040513,口腔科,26
20040513,皮肤科,5
20040516,内科,11
20040516,外科,16
20040516,儿科,17
20040516,妇产科,25
20040516,骨科,28
20040516,口腔科,29
20040516,皮肤科,7
20040520,内科,10
20040520,外科,16
20040520,儿科,18
20040520,妇产科,25
20040520,骨科,26
20040520,口腔科,29
20040520,皮肤科,3
20040523,内科,7
20040523,外科,17
20040523,儿科,19
20040523,妇产科,20
20040523,骨科,21
20040523,口腔科,29
20040523,皮肤科,11
20040527,内科,8
20040527,外科,10
20040527,儿科,17
20040527,妇产科,22
20040527,骨科,25
20040527,口腔科,29
20040527,皮肤科,14
20040530,内科,6
20040530,外科,10
20040530,儿科,13
20040530,妇产科,17
20040530,骨科,18
20040530,口腔科,21
20040530,皮肤科,2
20040603,内科,4
20040603,外科,9
20040603,儿科,10
20040603,妇产科,21
20040603,骨科,22
20040603,口腔科,24
20040603,皮肤科,10
20040606,内科,2
20040606,外科,6
20040606,儿科,7
20040606,妇产科,12
20040606,骨科,31
20040606,口腔科,32
20040606,皮肤科,5
20040610,内科,1
20040610,外科,12
20040610,儿科,18
20040610,妇产科,26
20040610,骨科,27
20040610,口腔科,28
20040610,皮肤科,13
20040613,内科,7
20040613,外科,15
20040613,儿科,16
20040613,妇产科,22
20040613,骨科,23
20040613,口腔科,32
20040613,皮肤科,14
20040617,内科,1
20040617,外科,7
20040617,儿科,8
20040617,妇产科,11
20040617,骨科,27
20040617,口腔科,31
20040617,皮肤科,6
20040620,内科,8
20040620,外科,9
20040620,儿科,11
20040620,妇产科,16
20040620,骨科,17
20040620,口腔科,29
20040620,皮肤科,9
20040624,内科,11
20040624,外科,12
20040624,儿科,14
20040624,妇产科,16
20040624,骨科,25
20040624,口腔科,29
20040624,皮肤科,9
20040627,内科,6
20040627,外科,7
20040627,儿科,19
20040627,妇产科,21
20040627,骨科,25
20040627,口腔科,29
20040627,皮肤科,2
20040701,内科,2
20040701,外科,3
20040701,儿科,9
20040701,妇产科,10
20040701,骨科,15
20040701,口腔科,29
20040701,皮肤科,11
20040704,内科,1
20040704,外科,12
20040704,儿科,14
20040704,妇产科,15
20040704,骨科,17
20040704,口腔科,29
20040704,皮肤科,9
20040708,内科,2
20040708,外科,3
20040708,儿科,4
20040708,妇产科,9
20040708,骨科,24
20040708,口腔科,25
20040708,皮肤科,2
20040711,内科,9
20040711,外科,11
20040711,儿科,14
20040711,妇产科,16
20040711,骨科,27
20040711,口腔科,28
20040711,皮肤科,11
20040715,内科,6
20040715,外科,8
20040715,儿科,19
20040715,妇产科,25
20040715,骨科,29
20040715,口腔科,32
20040715,皮肤科,7
20040718,内科,1
20040718,外科,20
20040718,儿科,21
20040718,妇产科,25
20040718,骨科,29
20040718,口腔科,30
20040718,皮肤科,2
20040722,内科,5
20040722,外科,21
20040722,儿科,23
20040722,妇产科,25
20040722,骨科,28
20040722,口腔科,32
20040722,皮肤科,4
20040725,内科,1
20040725,外科,8
20040725,儿科,11
20040725,妇产科,12
20040725,骨科,27
20040725,口腔科,31
20040725,皮肤科,12
20040729,内科,4
20040729,外科,7
20040729,儿科,11
20040729,妇产科,19
20040729,骨科,23
20040729,口腔科,26
20040729,皮肤科,10
20040801,内科,3
20040801,外科,5
20040801,儿科,11
20040801,妇产科,24
20040801,骨科,27
20040801,口腔科,28
20040801,皮肤科,15
20040805,内科,13
20040805,外科,16
20040805,儿科,19
20040805,妇产科,20
20040805,骨科,23
20040805,口腔科,33
20040805,皮肤科,9
20040808,内科,1
20040808,外科,12
20040808,儿科,25
20040808,妇产科,27
20040808,骨科,28
20040808,口腔科,29
20040808,皮肤科,13
20040812,内科,7
20040812,外科,10
20040812,儿科,13
20040812,妇产科,16
20040812,骨科,27
20040812,口腔科,28
20040812,皮肤科,7
20040815,内科,14
20040815,外科,15
20040815,儿科,18
20040815,妇产科,20
20040815,骨科,27
20040815,口腔科,31
20040815,皮肤科,4
20040819,内科,13
20040819,外科,14
20040819,儿科,27
20040819,妇产科,29
20040819,骨科,32
20040819,口腔科,33
20040819,皮肤科,8
20040822,内科,5
20040822,外科,13
20040822,儿科,20
20040822,妇产科,23
20040822,骨科,24
20040822,口腔科,25
20040822,皮肤科,3
20040824,内科,1
20040824,外科,6
20040824,儿科,7
20040824,妇产科,13
20040824,骨科,16
20040824,口腔科,32
20040824,皮肤科,4
20040826,内科,2
20040826,外科,8
20040826,儿科,11
20040826,妇产科,13
20040826,骨科,24
20040826,口腔科,31
20040826,皮肤科,15
20040829,内科,2
20040829,外科,11
20040829,儿科,15
20040829,妇产科,20
20040829,骨科,22
20040829,口腔科,29
20040829,皮肤科,5
20040831,内科,10
20040831,外科,12
20040831,儿科,21
20040831,妇产科,22
20040831,骨科,30
20040831,口腔科,33
20040831,皮肤科,6
20040902,内科,3
20040902,外科,8
20040902,儿科,16
20040902,妇产科,17
20040902,骨科,21
20040902,口腔科,29
20040902,皮肤科,6
20040905,内科,8
20040905,外科,15
20040905,儿科,18
20040905,妇产科,28
20040905,骨科,30
20040905,口腔科,33
20040905,皮肤科,14
20040907,内科,2
20040907,外科,7
20040907,儿科,13
20040907,妇产科,16
20040907,骨科,23
20040907,口腔科,28
20040907,皮肤科,16
20040909,内科,5
20040909,外科,6
20040909,儿科,15
20040909,妇产科,19
20040909,骨科,26
20040909,口腔科,29
20040909,皮肤科,13
20040912,内科,7
20040912,外科,18
20040912,儿科,21
20040912,妇产科,26
20040912,骨科,27
20040912,口腔科,28
20040912,皮肤科,7
20040914,内科,3
20040914,外科,5
20040914,儿科,13
20040914,妇产科,17
20040914,骨科,25
20040914,口腔科,31
20040914,皮肤科,7
20040916,内科,8
20040916,外科,9
20040916,儿科,10
20040916,妇产科,14
20040916,骨科,16
20040916,口腔科,26
20040916,皮肤科,7
20040919,内科,4
20040919,外科,5
20040919,儿科,10
20040919,妇产科,21
20040919,骨科,24
20040919,口腔科,26
20040919,皮肤科,5
20040921,内科,7
20040921,外科,13
20040921,儿科,14
20040921,妇产科,17
20040921,骨科,19
20040921,口腔科,30
20040921,皮肤科,3
20040923,内科,3
20040923,外科,8
20040923,儿科,20
20040923,妇产科,23
20040923,骨科,24
20040923,口腔科,26
20040923,皮肤科,16
20040926,内科,3
20040926,外科,5
20040926,儿科,21
20040926,妇产科,24
20040926,骨科,27
20040926,口腔科,32
20040926,皮肤科,6
20040928,内科,3
20040928,外科,20
20040928,儿科,24
20040928,妇产科,27
20040928,骨科,29
20040928,口腔科,30
20040928,皮肤科,15
20040930,内科,14
20040930,外科,16
20040930,儿科,27
20040930,妇产科,28
20040930,骨科,30
20040930,口腔科,33
20040930,皮肤科,6
20041003,内科,1
20041003,外科,4
20041003,儿科,8
20041003,妇产科,11
20041003,骨科,21
20041003,口腔科,25
20041003,皮肤科,14
20041005,内科,3
20041005,外科,8
20041005,儿科,11
20041005,妇产科,29
20041005,骨科,30
20041005,口腔科,32
20041005,皮肤科,1
20041007,内科,10
20041007,外科,13
20041007,儿科,18
20041007,妇产科,19
20041007,骨科,25
20041007,口腔科,27
20041007,皮肤科,1
20041010,内科,1
20041010,外科,3
20041010,儿科,7
20041010,妇产科,8
20041010,骨科,25
20041010,口腔科,26
20041010,皮肤科,14
20041012,内科,2
20041012,外科,10
20041012,儿科,19
20041012,妇产科,22
20041012,骨科,24
20041012,口腔科,32
20041012,皮肤科,14
20041014,内科,14
20041014,外科,17
20041014,儿科,20
20041014,妇产科,25
20041014,骨科,28
20041014,口腔科,30
20041014,皮肤科,14
20041017,内科,1
20041017,外科,18
20041017,儿科,20
20041017,妇产科,24
20041017,骨科,32
20041017,口腔科,33
20041017,皮肤科,12
20041019,内科,9
20041019,外科,13
20041019,儿科,14
20041019,妇产科,21
20041019,骨科,30
20041019,口腔科,33
20041019,皮肤科,1
20041021,内科,1
20041021,外科,4
20041021,儿科,8
20041021,妇产科,13
20041021,骨科,28
20041021,口腔科,31
20041021,皮肤科,2
20041024,内科,11
20041024,外科,14
20041024,儿科,20
20041024,妇产科,27
20041024,骨科,32
20041024,口腔科,33
20041024,皮肤科,5
20041026,内科,5
20041026,外科,9
20041026,儿科,10
20041026,妇产科,13
20041026,骨科,24
20041026,口腔科,25
20041026,皮肤科,8
20041028,内科,19
20041028,外科,22
20041028,儿科,27
20041028,妇产科,28
20041028,骨科,30
20041028,口腔科,32
20041028,皮肤科,1
20041031,内科,1
20041031,外科,4
20041031,儿科,12
20041031,妇产科,16
20041031,骨科,20
20041031,口腔科,30
20041031,皮肤科,15
20041102,内科,10
20041102,外科,19
20041102,儿科,20
20041102,妇产科,26
20041102,骨科,29
20041102,口腔科,31
20041102,皮肤科,14
20041104,内科,3
20041104,外科,12
20041104,儿科,13
20041104,妇产科,25
20041104,骨科,26
20041104,口腔科,31
20041104,皮肤科,3
20041107,内科,5
20041107,外科,10
20041107,儿科,21
20041107,妇产科,22
20041107,骨科,26
20041107,口腔科,33
20041107,皮肤科,2
20041109,内科,6
20041109,外科,8
20041109,儿科,9
20041109,妇产科,14
20041109,骨科,24
20041109,口腔科,33
20041109,皮肤科,15
20041111,内科,2
20041111,外科,9
20041111,儿科,14
20041111,妇产科,19
20041111,骨科,25
20041111,口腔科,26
20041111,皮肤科,15
20041114,内科,3
20041114,外科,9
20041114,儿科,12
20041114,妇产科,15
20041114,骨科,28
20041114,口腔科,32
20041114,皮肤科,1
20041116,内科,2
20041116,外科,3
20041116,儿科,5
20041116,妇产科,9
20041116,骨科,16
20041116,口腔科,21
20041116,皮肤科,2
20041118,内科,7
20041118,外科,11
20041118,儿科,17
20041118,妇产科,18
20041118,骨科,24
20041118,口腔科,29
20041118,皮肤科,5
20041121,内科,7
20041121,外科,9
20041121,儿科,10
20041121,妇产科,21
20041121,骨科,23
20041121,口腔科,30
20041121,皮肤科,12
20041123,内科,10
